STUDENT_ID,FALL_COHORT,COHORT_TYPE,GENDER,N__IPEDS_ETHNICITY,ENROLLMENT_STATUS,EXCLUSION_ELIGIBLE,ENROLLED_FALL_2020
ID000191,2019,N/A,F,WHITE,F,N,Y
ID000192,2019,N/A,F,WHITE,F,N,Y
ID000193,2019,N/A,F,TWOMORE,F,N,Y
ID000194,2019,N/A,F,WHITE,F,N,Y
ID000195,2019,UD,F,WHITE,F,N,Y
ID000196,2019,FTF,F,WHITE,F,N,Y
ID000197,2019,N/A,M,NSPEC,P,N,Y
ID000198,2019,N/A,F,WHITE,F,N,Y
ID000199,2019,FTF,F,HISPA,F,N,Y
ID000200,2019,N/A,M,WHITE,F,N,Y
ID000201,2019,FTF,M,WHITE,F,N,Y
ID000202,2019,N/A,M,HISPA,F,N,Y
ID000203,2019,N/A,M,HISPA,F,N,Y
ID000204,2019,N/A,F,HISPA,F,N,Y
ID000205,2019,FTF,F,HISPA,F,N,Y
ID000206,2019,N/A,M,WHITE,F,N,Y
ID000207,2019,FTF,M,WHITE,F,N,Y
ID000208,2019,N/A,F,WHITE,P,N,Y
ID000209,2019,N/A,F,HISPA,F,N,Y
ID000210,2019,FTF,M,WHITE,F,N,Y
ID000211,2019,N/A,M,HISPA,F,N,Y
ID000212,2019,N/A,F,WHITE,P,N,Y
ID000213,2019,N/A,M,WHITE,F,N,Y
ID000214,2019,N/A,F,ASIAN,F,N,Y
ID000215,2019,N/A,F,WHITE,F,N,Y
ID000216,2019,N/A,F,HISPA,F,N,Y
ID000217,2019,FTF,M,WHITE,F,N,Y
ID000218,2019,N/A,F,HISPA,F,N,Y
ID000219,2019,N/A,F,HISPA,F,N,Y
ID000220,2019,N/A,F,HISPA,F,N,Y
ID000221,2019,N/A,F,HISPA,F,N,Y
ID000222,2019,N/A,F,HISPA,F,N,Y
ID000223,2019,UD,F,NSPEC,P,N,Y
ID000224,2019,N/A,F,HISPA,F,N,Y
ID000225,2019,FTF,F,HISPA,F,N,Y
ID000226,2019,FTF,F,HISPA,F,N,Y
ID000227,2019,N/A,M,WHITE,F,N,Y
ID000228,2019,N/A,M,HISPA,F,N,Y
ID000229,2019,N/A,F,HISPA,P,N,Y
ID000230,2019,N/A,M,HISPA,P,N,Y
ID000231,2019,N/A,F,HISPA,F,N,Y
ID000232,2019,N/A,F,HISPA,F,N,Y
ID000233,2019,N/A,F,WHITE,F,N,Y
ID000234,2019,N/A,F,HISPA,F,N,Y
ID000235,2019,N/A,M,HISPA,F,N,Y
